"SeqID","mean.temp","mean.cloud","mean.wind","start.hour","ord.date","week","duration","num.species","un.id.species","abund","un.id.abund"
121,58,2.5,10,12,124,5,40,2,0,5,0
122,69,42.5,16,13,131,6,45,2,0,5,0
123,71,0,4,12,138,7,45,2,0,9,0
124,72.5,0,4,12,144,8,55,4,0,10,0
125,73,10,10,14,159,10,125,5,0,6,0
126,70.5,0,4,13,166,11,60,5,0,6,0
127,70.5,15,6,13,168,12,60,8,0,11,0
128,90,5,22,12,176,13,70,12,0,72,0
129,76,7.5,13,12,187,14,135,16,0,41,0
130,86,0,6,14,194,15,85,12,0,61,0
131,80.5,0,6,14,201,16,75,14,0,81,0
132,84.5,0,1,12,208,17,80,16,0,77,0
133,72,5,10,10,210,18,80,13,0,67,0
134,82.5,30,10,13,221,19,80,17,0,78,0
135,72.5,60,4,14,230,20,80,15,0,98,0
136,72.5,50,0,13,237,21,140,18,0,88,0
137,77.5,20,2,12,244,22,85,14,0,87,0
138,79,0,1,11,245,23,75,10,0,85,0
139,74,50,2,13,257,24,75,14,0,111,0
140,64.5,20,4,14,264,25,75,9,0,69,0
141,69.5,0,2,11,270,26,65,7,0,42,0
142,70,8.5,0,NA,138,7,NA,2,0,3,0
143,60,0,0,15,147,9,90,3,0,4,0
144,79,50,16,14,156,10,70,3,0,13,0
145,75.5,0,1,12,161,11,80,4,0,63,0
146,74.5,95,22,12,167,11,75,6,0,71,0
147,86,65,3,12,171,12,135,6,0,143,0
148,75.5,35,8,12,187,14,150,5,0,85,0
149,78,0,0,13,193,15,130,8,0,104,0
150,76,0,0,14,201,16,160,10,0,120,0
151,80,0,11,12,208,17,135,14,0,116,0
152,78,90,2,13,215,18,70,14,0,92,0
153,76,90,11,14,230,20,120,13,0,107,0
154,74,7.5,16,14,235,21,150,11,0,102,0
155,73,100,2,13,243,22,100,12,0,37,0
156,69,5,0,14,248,23,99,7,0,34,0
157,68.5,95,11,15,265,25,10,2,0,7,0
158,79.5,77.5,11,13,103,2,45,0,0,0,0
159,78,61.5,16,11,110,3,55,0,0,0,0
160,82,85,16,11,131,6,79,1,0,1,0
161,82.5,15,22,11,139,7,255,0,0,0,0
162,68,65,10,16,146,8,75,1,0,1,0
163,78,80,14,12,155,10,120,4,0,51,0
164,81,90,1,15,162,11,75,3,0,100,0
165,78.5,85,0,13,169,12,125,5,0,45,0
166,85,3.5,2,10,183,14,75,8,0,68,0
167,84,90,6,15,189,14,110,9,0,62,0
168,79,40,2,13,204,17,165,7,0,40,0
169,89,62.5,0,14,220,19,110,12,0,60,0
170,77,45,13,11,229,20,150,9,0,71,0
171,83,62.5,8,13,235,21,50,9,0,45,0
172,83,0,5,11,245,22,100,6,0,23,0
173,82,0,10,15,252,23,80,5,0,11,0
174,65,2.5,15,15,102,2,50,0,0,0,0
175,60,5,10,15,112,3,45,0,0,0,0
176,80,90,33,14,131,6,45,3,0,4,0
177,60,5,15,15,135,7,35,0,0,0,0
178,85,37.5,18,13,140,7,35,1,0,1,0
179,77,0,15,15,143,8,40,2,0,3,0
180,61,0,18,14,150,9,70,1,0,1,0
181,68,87.5,8,15,157,10,45,2,0,24,0
182,80,85,5,12,168,11,55,8,0,43,0
183,83,5,2,11,183,14,37,6,0,41,0
184,77.5,85,0,11,217,18,50,9,0,46,0
185,75,5,5,11,224,19,50,7,0,27,0
186,82.5,10,6.5,13,231,20,50,9,0,50,0
187,80,15,15,15,241,22,65,8,0,14,0
188,65,0,5,15,274,27,5,4,0,6,0
189,56.5,5,5,10,131,6,65,2,0,3,0
190,65,5,10,10,138,7,45,2,0,6,0
191,65,30,15,14,148,9,35,1,0,5,0
192,82,5,5,13,161,11,40,3,0,31,0
193,85,62.5,12,14,172,12,41,2,0,22,0
194,88,50,12,11,176,13,45,8,0,53,0
195,90,5,12,15,183,14,45,7,0,57,0
196,80,0,2,11,193,15,60,8,0,34,0
197,73.5,10,15,12,210,18,55,8,0,27,0
198,84,0,5,11,221,19,29,11,0,26,0
199,85,65,5,16,245,23,30,6,0,18,0
200,75.5,22.5,8.5,14,186,14,85,9,0,67,0
201,72.5,5,6,13,192,15,84,9,0,91,0
202,80,96.5,1.5,13,197,16,82,9,0,120,0
203,76.5,10,3,14,207,17,75,8,0,65,0
204,78.5,1,6.5,13,214,18,65,7,0,61,0
205,75.5,0,5,11,220,19,65,10,0,67,0
206,82.5,40,2.5,15,228,20,75,11,0,36,0
207,85.5,37.5,11,11,235,21,85,7,0,26,0
208,81.5,27.5,8,13,242,22,65,9,0,26,0
209,77.5,0,3,13,248,23,85,8,0,45,0
210,79.5,35,6.5,13,255,24,65,5,0,36,0
211,79.5,12.5,5,12,262,25,80,7,0,40,0
212,85,30,9,13,269,26,65,8,0,19,0
213,71,0,0,13,102,2,70,2,0,8,0
214,62,97.5,0,11,123,5,60,0,0,0,0
216,79,1.5,16,11,138,7,75,4,0,24,0
217,71,100,10,12,144,8,105,3,0,43,0
218,86.5,80,22,12,171,12,85,7,0,36,0
219,83.5,90,19.5,10,180,13,95,9,0,57,0
220,77,27.5,10,10,187,14,95,8,0,50,0
221,75,45,22,10,191,15,75,7,0,32,0
222,76,15,16,12,213,18,90,8,0,28,0
223,80,2.5,16,12,227,20,95,7,0,27,0
224,74,5,10,13,243,22,35,8,0,63,0
225,80,0,16,14,248,23,90,10,0,83,0
226,90,5,16,13,257,24,95,7,0,45,0
227,71,100,16,15,267,26,70,4,0,11,0
228,63,95,16,14,108,3,20,1,0,3,0
229,73,0,16,14,114,4,30,2,0,13,0
230,64.5,80,16,13,132,6,40,1,0,4,0
231,83,5,16,15,135,7,55,3,0,4,0
232,66,5,13.5,13,143,8,65,6,0,10,0
233,87,80,28,15,149,9,55,3,0,11,0
234,82,42.5,6,12,174,12,85,4,0,52,0
235,88,10,16,14,177,13,95,6,0,35,0
236,79,55,2,12,187,14,70,4,0,11,0
237,77,90,10,15,192,15,70,8,0,23,0
238,81,90,16,15,198,16,50,9,0,23,0
239,78,50,8,16,206,17,40,5,0,16,0
240,76,0,10,14,212,18,60,8,0,28,0
242,74,57.5,10,11,223,19,55,6,0,8,0
243,79,0,1,14,226,20,55,5,0,14,0
244,77.5,15,16,11,239,22,55,4,0,20,0
245,80,0,6,14,248,23,55,6,0,51,0
246,80.5,15,10,12,254,24,70,5,0,33,0
247,74,0,16,15,261,25,50,4,0,33,0
248,71.5,47.5,10,11,268,26,40,6,0,30,0
249,71.5,0,6,11,183,14,185,3,0,4,0
250,71,35,10,14,191,15,76,2,0,3,0
251,83,95,10,16,202,16,63,1,0,2,0
252,79.5,10,21,14,208,17,96,2,0,4,0
253,81,92.5,6,14,215,18,65,2,0,2,0
254,71,45,6,11,223,19,75,1,0,2,0
255,81.5,0,10,15,229,20,106,0,0,0,0
256,81,0,10,15,239,22,75,0,0,0,0
257,61.5,35,16,15,251,23,120,2,0,10,0
258,71.5,0,6,11,183,14,120,4,0,18,0
259,76,50,4,13,189,15,32,3,0,3,0
260,76,20,3.5,14,190,15,35,2,0,4,0
261,88,10,2,15,199,16,57,5,0,6,0
262,82,25,4,12,204,17,66,5,0,12,0
263,88,20,3.5,16,210,18,65,4,0,6,0
264,91,70,3.5,16,221,19,NA,3,0,5,0
265,76.5,0,3.5,11,228,20,78,4,0,10,0
266,80,10,1,13,230,20,69,4,0,7,0
267,76.5,95,4.5,14,237,21,49,2,0,4,0
268,81,0,2,11,248,23,10,4,0,11,0
269,76.5,0,1,11,261,25,30,4,0,16,0
270,72.5,85,5,14,267,26,51,4,0,19,0
271,93,20,9,14,168,12,90,8,0,47,0
272,95,25,8.5,14,177,13,65,11,0,66,0
273,80.5,50,6,12,182,14,90,13,0,85,0
274,80,15,5,11,191,15,61,9,0,37,0
275,83,60,2,11,198,16,90,9,0,46,0
276,86.5,NA,3.5,11,200,16,90,10,0,52,0
277,82,40,2,14,212,18,60,7,0,50,0
278,93.5,40,1,14,218,19,89,10,0,58,0
279,86,40,1,14,226,20,90,9,0,40,0
280,79.5,5,1,14,230,20,85,9,0,62,0
281,72,100,1,11,236,21,60,0,0,0,0
282,87,0,0,14,249,23,80,5,0,66,0
283,77,35,3.5,14,253,24,105,7,0,40,0
284,82,37.5,0,14,260,25,90,7,0,47,0
285,81,70,1,14,265,25,NA,3,0,31,0
286,81,30,1.5,15,272,26,80,3,0,14,0
289,62,80,6,12,120,5,55,2,0,2,0
290,58.5,100,10,14,128,6,50,3,0,4,0
291,66.5,0,6,11,135,7,65,9,0,27,0
292,72,5,10,14,140,8,75,11,0,61,0
293,63.5,2.5,8,13,150,9,65,15,0,94,0
294,60,30,16,13,158,10,55,12,0,38,0
295,65.5,67.5,19,11,164,11,75,10,0,39,0
296,70.5,0,8,11,171,12,71,9,0,82,0
297,85,17.5,16,12,176,13,55,10,0,92,0
298,76.5,5,10,13,184,14,70,15,0,42,0
299,71.5,5,6,13,193,15,75,20,0,82,0
300,73.5,15,6,14,199,16,70,16,0,77,0
301,70,5,6,12,205,17,65,15,0,90,0
302,68.5,7.5,10,14,212,18,90,9,0,48,0
303,88.5,15,6,13,220,19,60,15,0,73,0
304,73.5,10,10,14,228,20,65,12,0,34,0
305,73,15,6,14,234,21,25,12,0,43,0
306,75,30,6,13,242,22,60,13,0,31,0
307,80.5,15,10,14,249,23,80,12,0,57,0
308,71,0,2,13,256,24,75,11,0,68,0
309,66,0,10,14,260,25,60,10,0,32,0
310,80.5,17.5,6,14,269,26,65,13,0,59,0
311,76,60,4,13,103,2,60,0,0,0,0
312,69,50,2,15,106,3,55,0,0,0,0
313,68,52.5,2,14,115,4,85,3,0,4,0
314,69.5,89,0,12,125,5,67,3,0,6,0
315,66,2.5,5,14,129,6,NA,7,0,19,0
316,80,90,2,14,136,7,120,11,0,143,0
317,65,7.5,3,14,143,8,140,10,0,339,0
318,76.5,100,5,14,151,9,105,12,0,149,0
319,80,95,5,14,153,9,100,12,0,124,0
322,70.5,77.5,4,14,164,11,120,12,0,125,0
323,78,75,4,15,168,12,85,8,0,100,0
324,77.5,25,7,14,182,14,150,20,0,99,0
325,70.5,40,1,10,192,15,NA,15,0,120,0
326,86,35,2,10,201,16,134,12,0,254,0
327,74.5,0,3,15,207,17,90,11,0,344,0
328,83,5,1.5,12,214,18,120,8,0,172,0
329,92,20,2,14,220,19,123,10,0,144,0
330,79,20,2,15,225,20,130,17,0,120,0
331,86,50,0,14,233,21,135,16,0,92,0
332,63,17.5,2,12,102,2,70,2,0,4,0
333,71,40,1.5,17,106,3,60,3,0,4,0
334,54.5,0,2,16,118,4,NA,1,0,9,0
335,65.5,80,0,16,123,5,145,1,0,12,0
336,67.5,7.5,3.5,16,129,6,68,5,0,11,0
338,68.5,37.5,8,11,154,10,77,11,0,37,0
339,84.5,10,6,11,169,12,60,6,0,9,0
340,78,40,12.5,13,181,13,75,13,0,59,0
341,82.5,NA,6,10,220,19,70,17,0,49,0
342,83,5,6,14,238,22,45,11,0,25,0
343,68,40,10,13,252,24,45,11,0,46,0
344,68,60,6,15,267,26,35,9,0,39,0
345,73.5,45,NA,14,125,5,60,1,0,1,0
346,63.5,100,4.5,14,132,6,51,1,0,6,0
347,83,30,4.5,14,134,7,95,5,0,10,0
348,79,0,3,15,140,8,70,5,0,9,0
349,72,15,3,15,147,9,75,5,0,23,0
350,75.5,90,5,14,153,9,83,6,0,31,0
351,71,85,2,13,161,11,60,5,0,13,0
352,78,20,4,15,163,11,60,3,0,5,0
353,73,55,6.5,14,168,12,75,4,0,14,0
354,79,15,2,11,171,12,65,2,0,21,0
355,82.5,15,0,16,134,7,80,7,0,96,0
356,73,20,0,16,146,8,110,11,0,231,0
357,83,17.5,5,16,149,9,95,11,0,160,0
358,70,100,0,17,160,10,55,6,0,7,0
359,83.5,5,4.5,14,163,11,200,12,0,42,0
360,80,10,2,16,169,12,NA,10,0,142,0
361,88,6,1.5,15,175,13,110,11,0,138,0
362,79,15,2,15,190,15,95,8,0,123,0
363,85,80,2,15,195,15,102,7,0,256,0
364,82,15,4,12,201,16,NA,7,0,374,0
365,75,100,2,15,234,21,110,15,0,47,0
366,71.5,2.5,1,15,247,23,105,11,0,54,0
367,77,0,4,11,254,24,155,13,0,80,0
368,82,80,2,14,262,25,75,10,0,62,0
369,76,100,5,13,270,26,85,3,0,15,0
370,75.5,10,1,15,272,26,68,8,0,41,0
371,74,2.5,1.5,11,207,17,89,11,0,325,0
372,78,27.5,1.5,16,210,18,120,13,0,245,0
373,89.5,90,1,15,218,19,95,13,0,83,0
374,75,25,2,15,224,20,85,12,0,78,0
375,71,0,2,15,231,21,100,15,0,69,0
376,76.5,2.5,1.5,16,238,22,95,12,0,63,0
377,72,35,1,14,246,23,65,12,0,44,0
378,78.5,75,2,15,255,24,107,9,0,80,0
379,80,60,0.5,11,262,25,80,8,0,34,0
380,61,5,1.5,15,266,26,90,9,0,42,0
381,86.5,45,4,13,176,13,80,6,0,41,0
382,75.5,25,3,13,182,14,75,5,0,15,0
383,81,65,3,13,189,15,45,5,0,26,0
384,78,90,2.5,14,198,16,60,5,0,9,0
385,72,70,2,14,205,17,80,8,0,21,0
386,78,0,2,14,213,18,75,6,0,26,0
387,83.5,85,2,15,217,19,75,6,0,28,0
388,79,5,3,14,225,20,75,4,0,8,0
389,76,10,3,14,232,21,90,7,0,28,0
390,75,10,3,14,237,21,60,5,0,16,0
391,72,10,3,14,246,23,75,3,0,14,0
392,60,10,6,15,252,24,75,3,0,10,0
393,67.5,75,3,13,268,26,85,3,0,22,0
394,76,30,3.5,14,103,2,60,0,0,0,0
395,61,0,2,16,110,3,65,1,0,1,0
396,64,25,4,11,115,4,60,3,0,4,0
397,66,100,2,16,120,5,66,1,0,1,0
398,64,12.5,2,11,129,6,70,3,0,10,0
399,82.5,5,1.5,15,135,7,105,8,0,103,0
400,63.5,10,3,11,143,8,95,10,0,211,0
401,76.5,7.5,2.5,15,147,9,102,13,0,230,0
402,65,2.5,2,15,159,10,105,10,0,61,0
403,83,20,1.5,16,163,11,60,11,0,74,0
404,80,5,2,14,169,12,108,17,0,137,0
405,92,65,2,15,176,13,110,9,0,110,0
406,80,27.5,4.5,10,184,14,111,12,0,74,0
407,71.5,30,5,15,191,15,105,12,0,163,0
408,85.5,35,2.5,16,197,16,90,8,0,264,0
409,74,60,2,15,205,17,95,13,0,209,0
410,77,5,1,12,213,18,85,9,0,110,0
411,89,0,2,11,220,19,88,13,0,104,0
412,78,52.5,1,11,228,20,97,15,0,64,0
413,81,15,1,15,232,21,130,15,0,65,0
414,81,20,2,15,240,22,92,11,0,50,0
415,71.5,15,2,15,246,23,130,15,0,68,0
416,72,10,9,13,253,24,120,12,0,93,0
417,73,5,1.5,15,261,25,80,7,0,63,0
418,84,10,3.5,15,269,26,80,7,0,66,0
420,70.5,7.5,25,14,141,8,120,7,0,18,0
421,71,5,13,14,146,8,100,8,0,28,0
422,82,2.5,8,13,151,9,127,8,0,36,0
423,76,55,13,12,155,10,100,12,0,92,0
424,77,90,6,15,161,11,88,10,0,96,0
425,73,60,9,12,162,11,105,13,0,116,0
426,88,5,6,14,168,12,80,12,0,121,0
427,90.5,2.5,6,14,169,12,120,17,0,103,0
428,76,97.5,4,11,175,13,123,16,0,107,0
429,74,97.5,6,10,176,13,100,17,0,84,0
430,73.5,55,8,14,182,14,97,15,0,80,0
431,68,77.5,6,13,183,14,90,13,0,68,0
432,80.5,55,13,16,185,14,77,16,0,53,0
433,69.5,99,2,12,190,15,75,7,0,15,0
434,79,10,6,14,192,15,110,11,0,40,0
435,91.5,5,2,10,196,16,105,10,0,27,0
436,83,10,6,14,200,16,75,6,0,16,0
437,84,2.5,6,13,210,18,83,8,0,13,0
438,89.5,0,2,11,211,18,101,10,0,19,0
439,85,40,10,13,218,19,103,8,0,41,0
440,90.5,12.5,4,14,223,19,71,5,0,25,0
441,84,65,6,11,224,20,82,4,0,19,0
442,92.5,20,4,12,232,21,90,9,0,17,0
443,84.5,2.5,2,13,238,22,106,10,0,20,0
444,75,30,10,13,244,22,82,5,0,7,0
445,77,0,8,13,247,23,121,9,0,22,0
446,69,2.5,6,14,252,24,94,6,0,15,0
447,76.5,10,8,11,259,25,80,6,0,21,0
448,66,5,4,13,267,26,90,7,0,19,0
449,82,5,4,13,272,26,146,8,0,21,0
452,62.5,50,6,10,154,10,180,16,0,159,0
453,78,35,6,12,160,10,170,7,0,164,0
454,72,70,8,9,164,11,55,8,0,172,0
455,80,22.5,8,10,169,12,150,17,0,351,0
456,86.5,95,4,10,176,13,150,12,0,253,0
457,86,0,NA,10,183,14,175,17,0,86,0
458,74,100,0,10,188,14,180,13,0,121,0
459,82,37.5,0,10,195,15,120,13,0,168,0
460,80,30,6,10,204,17,160,14,0,230,0
461,81,35,2,10,211,18,165,15,0,281,0
462,72,80,9,10,218,19,170,16,0,226,0
463,70,NA,0,10,225,20,157,10,0,108,0
464,71,7.5,8,10,231,21,130,15,0,87,0
465,74,0,2,10,240,22,150,17,0,156,0
466,67.5,85,10,10,245,23,120,9,0,105,0
467,75,1,6,10,254,24,150,11,0,165,0
468,72.5,45,6,10,260,25,150,10,0,201,0
470,70,59,3,12,268,26,140,10,0,183,0
471,70,0,6,10,272,26,180,8,0,63,0
473,77,40,10,14,109,3,60,1,0,1,0
474,75,25,10,14,123,5,60,4,0,4,0
475,75,67.5,11,14,130,6,75,3,0,5,0
476,78,10,6,14,142,8,60,3,0,13,0
477,70,0,2,13,152,9,75,6,0,55,0
478,82,50,16,15,165,11,102,13,0,157,0
479,80,90,16,11,171,12,95,12,0,155,0
480,77.5,0,8.5,15,177,13,70,11,0,114,0
481,75.5,75,6,11,184,14,65,7,0,54,0
482,77,0,4,11,193,15,130,11,0,60,0
483,78,100,2,11,199,16,60,13,0,65,0
484,75,92.5,2,11,205,17,75,13,0,112,0
486,86.5,30,16,12,233,21,60,10,0,46,0
487,85,0,6,15,242,22,85,10,0,77,0
488,72.5,62.5,10,15,257,24,90,10,0,113,0
489,75.5,82.5,13.5,13,120,5,80,4,0,5,0
490,60.5,0,1,11,127,6,70,3,0,4,0
491,61,10,9,12,142,8,NA,2,0,2,0
492,77.5,17.5,2.5,14,155,10,90,8,0,42,0
493,82,0,2.5,12,160,10,100,7,0,102,0
494,72.5,52.5,12,12,168,12,92,9,0,105,0
495,81.5,87.5,0,13,174,12,85,12,0,165,0
497,75,100,7,10,181,13,165,12,0,577,0
498,82.5,5,8.5,16,187,14,90,13,0,191,0
499,86.5,80,2,11,195,15,120,9,0,75,0
500,81,55,6.5,13,206,17,NA,15,0,108,0
501,80,20,11.5,15,209,17,90,12,0,80,0
502,78,55,8,12,216,18,150,17,0,307,0
503,75,50,0,12,226,20,120,13,0,419,0
504,74,55,1,10,231,21,120,16,0,317,0
505,70,100,0,11,239,22,105,16,0,191,0
506,82.5,60,7,11,245,23,120,15,0,124,0
507,70,50,5,11,252,24,105,13,0,276,0
509,70,50,NA,11,258,24,125,15,0,160,0
511,65,80,NA,14,268,26,90,9,0,222,0
512,73,40,10,13,143,8,75,4,0,15,0
513,70,0,2,12,152,9,70,3,0,18,0
514,70,50,10,14,157,10,75,8,0,48,0
515,85,47.5,8,16,170,12,NA,9,0,120,0
516,75.5,0,2,11,177,13,80,12,0,157,0
517,75,80,15,11,191,15,65,9,0,58,0
518,79,75,2,16,199,16,70,9,0,50,0
519,77.5,50,2,15,205,17,120,11,0,53,0
520,79,20,4,12,226,20,90,9,0,72,0
521,81,0,6,11,233,21,60,13,0,37,0
522,82.5,55,3,11,240,22,85,11,0,42,0
523,80.5,12.5,1,11,247,23,60,8,0,24,0
524,70,0,3,15,262,25,60,11,0,131,0
526,60,10,12,13,142,8,40,1,0,2,0
527,61,0,10,13,147,9,50,3,0,18,0
528,75,10,6.5,12,155,10,89,5,0,34,0
529,82.5,15,0,14,160,10,NA,5,0,33,0
530,75,90,0,14,168,12,45,4,0,33,0
531,88,60,8,11,175,13,70,7,0,79,0
532,84,52.5,4,11,183,14,105,9,0,172,0
533,86,70,18.5,13,188,14,120,5,0,56,0
534,93,47.5,10,13,195,15,90,7,0,33,0
535,80,99,5,14,205,17,NA,10,0,35,0
536,74,15,8,11,211,18,110,7,0,47,0
537,70,75,15,11,217,19,85,11,0,44,0
538,71.5,65,5,10,226,20,105,10,0,78,0
539,78,80,0,13,231,21,60,9,0,126,0
540,70,95,0,14,239,22,60,13,0,98,0
541,84,80,7,13,245,23,105,11,0,68,0
542,75,100,15,13,252,24,60,9,0,59,0
543,75,100,2,14,258,24,55,12,0,65,0
544,70,80,19,14,269,26,60,7,0,43,0
546,75,77.5,22,13,111,3,42,0,0,0,0
547,69,92.5,4,13,125,5,60,1,0,1,0
548,74.5,52.5,2,15,138,7,55,4,0,6,0
549,64.5,27.5,10,14,146,8,66,3,0,3,0
550,76.5,0,10,13,153,9,92,6,0,11,0
551,74.5,75,4,11,160,10,90,8,0,53,0
552,78.5,2.5,4,12,167,11,71,12,0,65,0
553,75.5,0,2,15,175,12,68,11,0,77,0
554,91,40,13,12,182,13,66,10,0,32,0
555,84,0,6,11,188,14,76,10,0,17,0
556,84.5,95,2,12,195,15,65,11,0,29,0
557,76.5,7.5,6,15,209,17,79,12,0,29,0
558,81,27.5,6,14,216,18,84,14,0,28,0
559,76,12.5,6,14,223,19,80,8,0,24,0
560,80,30,6,14,230,20,60,10,0,41,0
561,83,0,6,13,238,21,60,7,0,23,0
562,82.5,5,6,13,244,22,185,8,0,15,0
563,75.5,15,10,14,252,23,60,6,0,9,0
564,71,20,8,10,265,25,65,3,0,4,0
565,65,12.5,8,12,273,26,60,4,0,5,0
567,64.5,7.5,6,14,123,5,95,2,0,2,0
568,80,90,5.5,14,131,6,75,0,0,0,0
569,82,2.5,4,11,139,7,65,2,0,2,0
570,74,0,3.5,15,143,8,82,3,0,10,0
571,65,0,7,15,151,9,85,4,0,30,0
572,74,100,3,16,159,10,64,6,0,130,0
573,79,50,3.5,15,165,11,95,10,0,166,0
574,80,40,2,12,173,12,121,15,0,208,0
575,73,0,2,15,178,13,89,8,0,283,0
576,83.5,90,1.5,12,195,15,105,9,0,45,0
577,83.5,75,1.5,14,199,16,85,10,0,57,0
578,77.5,5,2.5,14,205,17,80,10,0,55,0
579,74.5,50,3,13,212,18,90,9,0,127,0
580,84.5,20,1.5,13,218,19,113,10,0,209,0
581,82.5,45,0,14,227,20,85,15,0,81,0
582,85,70,0,14,235,21,85,11,0,70,0
584,75,10,0,11,244,22,120,13,0,46,0
585,78,30,2.5,13,246,23,70,11,0,29,0
586,73,35,1.5,14,254,24,70,10,0,70,0
587,66,0,2.5,14,263,25,75,7,0,122,0
588,64,7.5,2,14,267,26,70,7,0,82,0
589,68,0,1.5,13,274,27,65,7,0,124,0
590,62.5,100,1,14,93,1,70,0,0,0,0
591,57,40,4.5,13,105,3,50,0,0,0,0
592,61.5,7.5,3,12,116,4,105,1,0,2,0
593,64,50,6,14,119,5,70,1,0,1,0
594,63.5,87.5,2.5,13,131,6,55,2,0,2,0
595,62,4,1,10,138,7,50,2,0,2,0
596,67,92.5,2,13,143,8,75,3,0,3,0
597,68.5,100,0,11,151,9,120,1,0,1,0
598,66,7.5,1,12,155,10,110,8,0,29,0
599,76,5,1.5,14,159,10,130,10,0,140,0
600,80,50,2,15,162,11,145,11,0,298,0
601,75,50,1.5,15,168,12,135,10,0,378,0
602,85.5,50,2,13,175,13,60,9,0,99,0
603,82,100,1,12,182,14,135,8,0,139,0
604,76.5,6.5,15,13,186,14,162,8,0,67,0
605,81.5,4,2.5,14,192,15,139,11,0,84,0
606,73.5,5,2.5,9,200,16,110,10,0,22,0
607,78.5,100,0,15,204,17,122,13,0,96,0
608,75,0,2,14,211,18,115,12,0,179,0
609,72,5,4,14,218,19,125,12,0,340,0
610,82,30,5,13,228,20,85,13,0,268,0
611,77,30,4.5,13,231,21,145,14,0,241,0
612,68,15,16,11,235,21,111,12,0,136,0
613,81,70,2,15,239,22,125,12,0,147,0
614,81,75,1,15,245,23,135,11,0,170,0
615,72,100,0,14,252,24,85,9,0,72,0
616,76,5,1.5,14,261,25,100,10,0,50,0
617,62.5,0,0.5,14,267,26,85,11,0,82,0
619,57.5,10,0,12,126,6,60,0,0,0,0
620,67.5,12.5,4,12,137,7,120,0,0,0,0
621,68,85,1,14,143,8,60,0,0,0,0
622,80,95.5,10,13,150,9,60,1,0,5,0
623,64,80,2,12,155,10,62,1,0,12,0
